Crop,Season,State,Area,Soil Type,Pesticide Usage,pH,Temperature,Fertilizer Usage,Price,Rainfall
Cotton(lint),Kharif     ,Assam,1739,Black Soil,low,Average,Medium,High,2490.092421,3373.2
Onion,Whole Year ,Assam,7832,Alluvial Soil,high,Low,Low,Medium,2348.904922,3520.7
Potato,Whole Year ,Assam,75259,Laterile Soil,low,Average,High,High,2448.287513,2957.4
Rice,Autumn     ,Assam,607358,Alluvial Soil,low,Low,High,High,2714.419518,3079.6
Rice,Summer     ,Assam,174974,Black Soil,high,Low,Low,Low,2883.356997,2566.7
Rice,Winter     ,Assam,1743321,Black Soil,high,Low,Medium,Medium,2671.146199,2534.4
Sugarcane,Kharif     ,Assam,31318,Laterile Soil,low,Low,High,Low,2530.516963,3347.9
Wheat,Rabi       ,Assam,84698,Alluvial Soil,high,Low,High,High,2949.403531,3576.4
Groundnut,Kharif     ,Karnataka,847666,Alluvial Soil,low,Average,High,High,2406.149058,2899.4
Groundnut,Rabi       ,Karnataka,192416,Red/Yellow Soil,low,Average,Low,High,2809.275802,2687.2
Ragi,Kharif     ,Karnataka,897921,Laterile Soil,low,Average,Medium,Medium,2413.58116,2960.5
Ragi,Rabi       ,Karnataka,27104,Red/Yellow Soil,low,High,Low,Low,2629.306887,2365.8
Ragi,Summer     ,Karnataka,13521,Red/Yellow Soil,high,Average,High,Low,2465.931231,2957.8
Rice,Kharif     ,Karnataka,1031530,Alluvial Soil,low,High,Low,Low,2483.244345,2741.3
Rice,Rabi       ,Karnataka,53889,Alluvial Soil,high,High,High,Medium,2386.784045,2937.5
Rice,Summer     ,Karnataka,268044,Alluvial Soil,low,Low,Medium,Medium,2903.456209,2612.4
Sugarcane,Whole Year ,Karnataka,308857,Red/Yellow Soil,high,Average,Low,Low,2280.122189,3275
Wheat,Rabi       ,Karnataka,250698,Red/Yellow Soil,high,Average,Low,High,2277.930324,2352.1
Banana,Whole Year ,Meghalaya,5239,Laterile Soil,low,High,Low,Low,3136.29807,2943.2
Cotton(lint),Kharif     ,Meghalaya,7544,Black Soil,low,Low,Medium,Low,2793.354269,2606.4
Potato,Whole Year ,Meghalaya,20764,Alluvial Soil,low,Average,High,Medium,1784.46589,3554.2
Rice,Kharif     ,Meghalaya,105170,Alluvial Soil,low,High,Medium,Low,2330.422378,1496.12
Sugarcane,Whole Year ,Meghalaya,82,Red/Yellow Soil,low,Low,High,High,1956.403199,1284.77
Wheat,Rabi       ,Meghalaya,4287,Red/Yellow Soil,low,Low,High,Low,2214.792792,2480.5
Cotton(lint),Kharif     ,West Bengal,26000,Black Soil,low,Low,High,Medium,1558.4456,3282.2
Groundnut,Whole Year ,West Bengal,29615,Laterile Soil,high,Average,Medium,Low,2458.903127,2442.9
Potato,Whole Year ,West Bengal,284015,Alluvial Soil,high,Low,Medium,High,2157.417454,2998.3
Ragi,Autumn     ,West Bengal,12607,Laterile Soil,low,Average,Low,High,2517.971577,2926.6
Rice,Autumn     ,West Bengal,423121,Alluvial Soil,high,High,High,Low,2012.463622,3075.1
Rice,Summer     ,West Bengal,1206829,Alluvial Soil,low,Low,High,Low,2524.873556,2357.7
Rice,Winter     ,West Bengal,4270328,Alluvial Soil,high,Average,Low,Low,2375.525117,2636.81
Sugarcane,Whole Year ,West Bengal,25797,Alluvial Soil,low,Low,High,Low,2950.58589,2987.5
Wheat,Rabi       ,West Bengal,367374,Laterile Soil,high,Average,Medium,Low,2923.407059,3722.8
Cotton(lint),Summer     ,Puducherry,453,Black Soil,high,Low,High,Low,2735.603681,3154
Groundnut,Rabi       ,Puducherry,1046,Red/Yellow Soil,high,Low,Medium,High,2402.015866,2018.86
Onion,Kharif     ,Puducherry,26,Red/Yellow Soil,low,High,High,High,3095.614119,3591.1
Ragi,Kharif     ,Puducherry,112,Alluvial Soil,high,Low,Low,High,2034.089417,3264.4
Rice,Kharif     ,Puducherry,4945,Alluvial Soil,high,Low,Medium,Medium,2078.932411,2782.5
Rice,Rabi       ,Puducherry,13961,Alluvial Soil,high,Average,Medium,High,2474.86507,3007.5
Rice,Summer     ,Puducherry,5716,Alluvial Soil,low,Low,High,Medium,3176.211433,2898.2
Sugarcane,Kharif     ,Puducherry,2710,Alluvial Soil,high,Average,Low,High,2439.298328,1088.26
Banana,Whole Year ,Assam,41885,Red/Yellow Soil,high,Average,Medium,High,2445.026427,2791.6
Cotton(lint),Kharif     ,Assam,1652,Black Soil,high,Average,Medium,Low,2067.426893,2365.37
Onion,Whole Year ,Assam,8083,Red/Yellow Soil,low,Low,Low,Medium,2783.778876,3489.6
Potato,Whole Year ,Assam,76958,Alluvial Soil,low,Low,Medium,High,2785.952876,2422.2
Rice,Autumn     ,Assam,594979,Alluvial Soil,high,High,Medium,Low,2736.72256,3275.1
Rice,Summer     ,Assam,223913,Alluvial Soil,low,High,Medium,Low,2311.233798,3079.9
Rice,Winter     ,Assam,1635230,Alluvial Soil,high,Average,High,Low,2287.987969,2721.9
Sugarcane,Whole Year ,Assam,30571,Red/Yellow Soil,low,High,High,High,2112.063325,3449
Wheat,Rabi       ,Assam,89591,Laterile Soil,low,Average,High,High,2525.161751,3349.6
Banana,Whole Year ,Goa,1900,Alluvial Soil,high,High,Low,Low,2175.877801,3080
