Crop,Season,Soil Type,Pesticide Usage,pH,Temperature,Fertilizer Usage,Price,Rainfall
Cotton(lint),Kharif     ,1,,1,1,2,0.37332640045248855,0.5281553088310362
Onion,Whole Year ,0,,0,0,1,0.33783431925590746,0.5516845329249617
Potato,Whole Year ,2,,1,2,2,0.3628173738059326,0.46182682491066873
Rice,Autumn     ,0,,0,2,2,0.4297183303167421,0.4813201888718734
Rice,Summer     ,1,,0,0,0,0.472186273755656,0.3995022970903522
Rice,Winter     ,1,,0,1,1,0.4188401706887882,0.39434979581419094
Sugarcane,Kharif     ,2,,0,2,0,0.38348842709904474,0.5241194486983155
Wheat,Rabi       ,0,,0,2,2,0.4887892234791351,0.5605698060234814
Groundnut,Kharif     ,0,,1,2,2,0.3522244992458521,0.45257465543644715
Groundnut,Rabi       ,3,,1,0,2,0.45356355002513826,0.41872447677386415
Ragi,Kharif     ,2,,1,1,1,0.35409280040221214,0.4623213374170495
Ragi,Rabi       ,3,,2,0,0,0.4083224954751131,0.367454696273609
Ragi,Summer     ,3,,1,2,0,0.36725269758672696,0.4618906329760082
Rice,Kharif     ,0,,2,0,0,0.3716049132730015,0.42735451761102605
Rice,Rabi       ,0,,2,2,1,0.3473564718451483,0.4586523736600306
Rice,Summer     ,0,,0,1,1,0.47723886601307186,0.4067923685553854
Sugarcane,Whole Year ,3,,1,0,0,0.3205435367018602,0.512490428790199
Wheat,Rabi       ,3,,1,0,2,0.319992539969834,0.3652692700357325
Banana,Whole Year ,2,,2,0,0,0.5357712594268476,0.45956163859111787
Cotton(lint),Kharif     ,1,,0,1,0,0.4495611535947711,0.40583524757529355
Potato,Whole Year ,0,,1,2,1,0.19594416540975357,0.5570284583971413
Rice,Kharif     ,0,,2,1,0,0.33318812921065866,0.2287232006125574
Sugarcane,Whole Year ,3,,0,2,2,0.23916621392659626,0.1950086140888208
Wheat,Rabi       ,3,,0,2,0,0.3041208627450981,0.3857516590096988
